PROC_CODE|CPT_CUSTOM|CPT_DESC
00100||Anesth, procedures on spit glands
00102||Anesth, repair of cleft lip
00103||Anesth, plastic surgery on eyelid
00104||Anesth, electroshock
00120||Anesth, ear surgery
00124||Anesth, ear exam
00126||Anesth, tympanotomy
00140||Anesth, procedures on eye
00142||Anesth, lens surgery
00144||Anesth, corneal transplant
00145||Anesth, vitreoretinal surg
00147||Anesth, iridectomy
00148||Anesth, eye exam
00160||Anesth, nose/sinus surgery
00162||Anesth, nose/sinus surgery
00164||Anesth, biopsy of nose
00170||Anesth, procedure on mouth
00172||Anesth, cleft palate repair
00174||Anesth, pharyngeal surgery
00176||Anesth, pharyngeal surgery
00190||Anesth, face/skull bone surg
00192||Anesth, facial bone surgery
00210||Anesth, open head surgery
00211||Anesth, intracranial procedure
00212||Anesth, skull drainage
00214||Anesth, skull drainage
00215||Anesth, skull repair/fract
00216||Anesth, head vessel surgery
00218||Anesth, special head surgery
00220||Anesth, intrcrn nerve
00222||Anesth, head nerve surgery
00300||Anesth, head/neck/ptrunk
00320||Anesth, neck organ, 1 & over
00322||Anesth, biopsy of thyroid
00326||Anesth, larynx/trach, < 1 yr
00350||Anesth, neck vessel surgery
00352||Anesth, neck vessel surgery
00400||Anesth, skin, ext/per/atrunk
00402||Anesth, surgery of breast
00404||Anesth, surgery of breast
00406||Anesth, surgery of breast
00410||Anesth, correct heart rhythm
00450||Anesth, surgery of shoulder
00452||Anesth, surgery of shoulder
00454||Anesth, collar bone biopsy
00470||Anesth, removal of rib
00472||Anesth, chest wall repair
00474||Anesth, surgery of rib(s)
00500||Anesth, esophageal surgery
00520||Anesth, chest procedure
00522||Anesth, chest lining biopsy
00524||Anesth, chest drainage
00528||Anesth, chest partition view
00529||Anesth, chest partition view
00530||Anesth, pacemaker insertion
00532||Anesth, vascular access
00534||Anesth, cardioverter/defib
00537||Anesth, cardiac electrophys
00539||Anesth, trach-bronch reconst
00540||Anesth, chest surgery
00541||Anesth, one lung ventilation
00542||Anesth, release of lung
00546||Anesth, lung,chest wall surg
00548||Anesth, trachea,bronchi surg
00550||Anesth, sternal debridement
00560||Anesth, heart surg w/o pump
00561||Anesth, heart surg < age 1
00562||Anesth, heart surg w/pump
00563||Anesth, heart surg w/arrest
00566||Anesth, cabg w/o pump
00567||Anesth, cabg w/ pump
00580||Anesth, heart/lung transplnt
00600||Anesth, spine, cord surgery
00604||Anesth, sitting procedure
00620||Anesth, spine, cord surgery
00622||Anesth, removal of nerves
00625||Anes spine tranthor w/o vent
00626||Anes, spine transthor w/vent
00630||Anesth, spine, cord surgery
00632||Anesth, removal of nerves
00634||Anesth for chemonucleolysis
00635||Anesth, lumbar puncture
00640||Anesth, spine manipulation
00670||Anesth, spine, cord surgery
00700||Anesth, abdominal wall surg
01260||Anesth, upper leg veins surg
01270||Anesth, thigh arteries surg
01272||Anesth, femoral artery surg
01274||Anesth, femoral embolectomy
01320||Anesth, knee area surgery
01340||Anesth, knee area procedure
01360||Anesth, knee area surgery
01380||Anesth, knee joint procedure
01382||Anesth, dx knee arthroscopy
01390||Anesth, knee area procedure
01392||Anesth, knee area surgery
01400||Anesth, knee joint surgery
01402||Anesth, knee arthroplasty
01404||Anesth, amputation at knee
01420||Anesth, knee joint casting
01430||Anesth, knee veins surgery
01432||Anesth, knee vessel surg
01440||Anesth, knee arteries surg
01442||Anesth, knee artery surg
01444||Anesth, knee artery repair
01462||Anesth, lower leg procedure
01464||Anesth, ankle/ft arthroscopy
01470||Anesth, lower leg surgery
01472||Anesth, achilles tendon surg
01474||Anesth, lower leg surgery
01480||Anesth, lower leg bone surg
01482||Anesth, radical leg surgery
01484||Anesth, lower leg revision
01486||Anesth, ankle replacement
01490||Anesth, lower leg casting
01500||Anesth, leg arteries surg
01502||Anesth, lwr leg embolectomy
01520||Anesth, lower leg vein surg
01522||Anesth, lower leg vein surg
01610||Anesth, surgery of shoulder
01620||Anesth, shoulder procedure
01622||Anes dx shoulder arthroscopy
01630||Anesth, surgery of shoulder
01632||Anesth, surgery of shoulder
01634||Anesth, shoulder joint amput
01636||Anesth, forequarter amput
01638||Anesth, shoulder replacement
01650||Anesth, shoulder artery surg
01652||Anesth, shoulder vessel surg
01654||Anesth, shoulder vessel surg
01656||Anesth, arm-leg vessel surg
01670||Anesth, shoulder vein surg
01680||Anesth, shoulder casting
01682||Anesth, airplane cast
01710||Anesth, elbow area surgery
01712||Anesth, uppr arm tendon surg
01714||Anesth, uppr arm tendon surg
01716||Anesth, biceps tendon repair
01730||Anesth, uppr arm procedure
01732||Anesth, dx elbow arthroscopy
01740||Anesth, upper arm surgery
01742||Anesth, humerus surgery
01744||Anesth, humerus repair
01756||Anesth, radical humerus surg
01758||Anesth, humeral lesion surg
01760||Anesth, elbow replacement
01770||Anesth, uppr arm artery surg
01772||Anesth, uppr arm embolectomy
01780||Anesth, upper arm vein surg
01782||Anesth, uppr arm vein repair
01810||Anesth, lower arm surgery
01820||Anesth, lower arm procedure
01829||Anesth, dx wrist arthroscopy
01830||Anesth, lower arm surgery
01832||Anesth, wrist replacement
01840||Anesth, lwr arm artery surg
01842||Anesth, lwr arm embolectomy
01844||Anesth, vascular shunt surg
01850||Anesth, lower arm vein surg
01852||Anesth, lwr arm vein repair
01860||Anesth, lower arm casting
01905||Anes, spine inject, x-ray/re
01916||Anesth, dx arteriography
01920||Anesth, catheterize heart
01922||Anesth, cat or MRI scan
01924||Anes, ther interven rad, art
01925||Anes, ther interven rad, car
01926||Anes, tx interv rad hrt/cran
01930||Anes, ther interven rad, vei
01931||Anes, ther interven rad, tip
01932||Anes, tx interv rad, th vein
01933||Anes, tx interv rad, cran v
01935||Anesth, percutaneous image guided proced
01936||Anesth, percutaneous image guided proced
01951||Anesth, burn, less 4 percent
01952||Anesth, burn, 4-9 percent
01953||Anesth, burn, each 9 percent
01958||Anesth, antepartum manipul
01960||Anesth, vaginal delivery
01961||Anesth, cs delivery
01962||Anesth, emer hysterectomy
01963||Anesth, cs hysterectomy
01965||Anesth, inc/missed ab proc
01966||Anesth, induced ab procedure
01967||Anesth/analg, vag delivery
01968||Anes/analg cs deliver add-on
01969||Anesth/analg cs hyst add-on
