CPT_MOD|CPT_MOD_DESC
0A|BRCA1 (Hereditary breat/Ovarian cancer)
0B|BRCA2 (Hereditary breast cancer)
0C|Neurofibromin (Neurofibromatosis, type 1)
0D|Merlin (Neurofibromatosis, type 2)
0E|c-RET (Multiple endrocrine neoplasia, types 2A/B, familial medullary thyroid carcinoma)
0F|VHL (Von Hippel Lindau desease, renal carcinoma)
0G|SDHD (Hereditary paraganglioma)
0H|SDHB (Hereditary paraganglioma)
0I|ERRB2, commonly called Her-2/neu
0J|MLH1 (HNPCC, mismatch repair genes)
0K|MSH2, MSH6, or PMS2 (HNPCC, mismatch repair genes)
0L|APC (Hereditary polyposis coli)
0M|Rb (Retinoblastoma)
0N|TP53, commonly called p53
0O|PTEN (Cowden's syndrome)
0P|KIT, also called CD117 (gastrointestinal stromal tumor)
0Z|Solid tumor gene, not otherwise specified
1A|WT1 or WT2 (Wilm's tumor)
1B|PAX3, PAX7, or FOX01A (Alveolar rhabdomyosarcoma)
1C|FLI1, ERG, ETV1, or EWSR1 (Ewing's sarcoma, desmoplastic round cell)
1D|DDIT3 or FUS (Myxoid liposarcoma)
1E|NR4A3, RBF56, or TCF12 (Myxoid chondrosarcoma)
1F|SSX1, SSX2, or SYT (Synovial sarcoma)
1G|MYCN (Neuroblastoma)
1H|COL1A1 or PDGFB (Dermato--fibrosarcoma protuberans)
1I|TFE3 or ASPSCR1 (Alveolar soft parts sarcoma)
1J|JAZF1 or JJAZ1 (Endometrial stromal sarcoma)
1Z|Sarcoma gene, not otherwise specified
21|Prolonged E&M Services
22|Increased Procedural Services
23|Unusual Anesthesia
24|Unrelated E&M Service by the Same Physician During a Postoperative Period
25|Significant, Separately Identifiable E&M Service by the Same Physician on the Same Day of a Procedure or Other Service
26|Professional Component
27|Multiple Outpatient Hospital E/M Encounters on the Same Date
2A|RUNX1 or CBFA2T1, commonly called AML1 or ETO, genes associated with t(8;21) AML1 - also ETO (Acute myelogenous leukemia)
2B|BCR or ABL1, genes associated with t(9;22) (Chronic myelogenous or acute leukemia) BCR - also ABL (Chronic myeloid, acute lymphoid leukemia)
2C|PBX1 or TCF3, genes associated with t(1;19) (Acute lymphoblastic leukemia) CGF1
2D|CBFB or MYH11, genes associated with inv 16 (Acute myelogenous leukemia) CBF beta (leukemia)
2E|MLL (acute leukemia)
2F|PML or RARA, genes associated with t(15;17) (Acute promyelocytic leukemia) PML/RAR alpha (Promyelocytic leukemia)
2G|ETV6, commonly called TEL, gene associated with t(12;21) (acute leukemia) TEL (Leukemia)
2H|BCL2 (B cell hymphoma, follicle center cell origin) bcl-2 (Lymphoma)
2I|CCND1, commonly called BCL1, cyclin D1 (Mantle cell lymphoma, myeloma) bcl-1 (Lymphoma)
2J|MYC (Burkitt lymphoma) c-myc (Lymphoma)
2K|lgH (Lymphoma/leukemia)
2L|IGK (Lymphoma/leukemia)
2M|TRB, T cell receptor beta (Lymphoma/leukemia)
2N|TRG, T cell recoptor gamma (Lymphoma/leukemia)
2O|SIL or TAL1 (T cell leukemia)
2Q|API1 or MALT1 (MALT lymphoma)
2R|NPM or ALK, genes associated with t(2;5) (Anaplastic large cell lymphoma)
2S|FLT3 (Acute myelogenous leukemia)
2T|BCL6 (B cell lymphoma)
2Z|Lymphoid/hematopoietic neoplasia, not otherwise specified
32|Mandated Services
33|Preventive Service
3A|F5, commonly called Factor V (Leiden, others) (Hypercoagulable state)
3B|FACC (Fanconi anemia)
3C|FACD (Fanconi anemia)
3D|HBB, beta globin (Thalassemia, Sickle cell anemia, other hemoglobinopathies)
3E|HBA, commonly called alpha globin (Thalassemia)
3F|MTHFR (Elevated homocystinemia)
3G|F2, commonly called prothrombin (20210, others) (Hypercoagulable state) Prothrombin (Factor II, 20210A) (Hypercoagulable state)
3H|F8, commonly called Factor VIII (Hemophilia A/VWF)
3I|F9, commonly called Factor IX (Hemophilia B)
3K|F13, commonly called Factor XIII (bleeding or hypercoagulable state) Beta globin
3Z|Non-neoplastic hematology/coagulation, not otherwise specified
47|Anesthesia by Surgeon
4A|HLA-A
4B|HLA-B
4C|HLA-C
4D|HLA-D
4E|HLA-DRB all
4F|HLA-DQB1
4G|HLA-DPB1
4H|Kell
4I|Fingerprint for engraftment (post-allogeneic progenitor cell transplant)
4J|Fingerprint for donor allelotype (allogeneic transplant)
4K|Fingerprint for recipient allelotype (allogeneic transplant)
4L|Fingerprint for leukocyte chimerism (allogeneic solid organ transplant)
4M|Fingerprint for maternal versus fetal origin
4N|Microsatellite instability
4O|Microsatellite loss (loss of heterozygosity)
4P|HLA-DRB1
4Q|HLA-DRB3
4R|HLA-DRB4
4S|HLA-DRB5
4T|HLA-DQA1
4U|HLA-DPA1
4Z|Histocompatibilty/blood typing, not otherwise specified
50|Bilateral Procedure
51|Multiple Procedures
52|Reduced Services
53|Discontinued Procedure
54|Surgical Care Only
55|Postoperative Management Only
56|Preoperative Management Only
57|Decision for Surgery
58|Staged or Related Procedure or Service by the Same Physician During the Same Postoperative Period
59|Distinct Procedural Service
5A|ASPA, commonly called Aspartoacylase A (Canavan disease)
5B|FMR-1 (Fragile X, FRAXA, syndrome)
5C|FRDA, commonly called Frataxin (Freidreich ataxia)
5D|HD, commonly called Huntington (Huntington's disease)
5E|GABRA5, NIPA1, UBE3A, or ANCR GABRA (Prader Willi-Angelman syndrome)
5F|GJB2, commonly called Connexin-26 (Hereditary hearing loss) Connexin-32 (GJB2) (Hereditary deafness)
5G|GJB1, commonly called Connexin-32 (X-linked Charcot-Marie-Tooth disease)
5H|SNRPN (Prader Willi-Angelman syndrome)
5I|SCA1, commonly called Ataxin-1 (Spinocerebellar ataxia, type 1)
5J|SCA2, commonly called Ataxin-2 (Spinocerebellar ataxia, type 2)
5K|MJD, commonly called Ataxin-3 (Spinocerebellar ataxia, type 3, Machado-Joseph disease)
5L|CACNA1A (Spinocerebellar ataxia, type 6)
5M|ATXN7 Ataxin-7 (Spinocerebellar ataxia, type 7)
5N|PMP-22 (Charcot-Marie-Tooth disease, type 1A)
5O|MECP2 (Rett syndrome)
5Z|Neurologic, non-neoplastic, not otherwise specified
62|Two Surgeons
63|Procedure Performed on Infants less than 4kg
66|Surgical Team
6A|DMD, commonly called dystrophin (Duchenne/Becker muscular dystrophy)
6B|DMPK (Myotonic dystrophy, type 1)
6C|ZNF-9 (Myotonic dystrophy, type 2)
