MR_LINE_CASE_KEY|CODE_SET_YEAR|MR_LINE_DESC2|MR_LINE|MR_LINE_DESC|PROD_TYPE|MR_LINE_DESC1|HCG_DESC_02
523|2016|Medical|I11a|HIP Medical - General|MEDICAL|HIP |1. Facility Inpatient
524|2016|Medical|I11b|HIP Medical - Rehabilitation|MEDICAL|HIP |1. Facility Inpatient
525|2016|Surgical|I12|HIP Surgical|MEDICAL|HIP |1. Facility Inpatient
526|2016|Psychiatric|I13a|HIP Psychiatric - Hospital|MEDICAL|HIP |1. Facility Inpatient
527|2016|Psychiatric|I13b|HIP Psychiatric - Residential|MEDICAL|HIP |1. Facility Inpatient
528|2016|Alcohol and Drug Abuse|I14a|HIP Alcohol and Drug Abuse - Hospital|MEDICAL|HIP |1. Facility Inpatient
529|2016|Alcohol and Drug Abuse|I14b|HIP Alcohol and Drug Abuse - Residential|MEDICAL|HIP |1. Facility Inpatient
530|2016|Mat Norm Delivery|I21a|HIP Mat Norm Delivery|MEDICAL|HIP |1. Facility Inpatient
531|2016|Mat Norm Delivery|I21b|HIP Mat Norm Delivery - Mom\Baby Cmbnd|MEDICAL|HIP |1. Facility Inpatient
532|2016|Mat Csect Delivery|I22a|HIP Mat Csect Delivery|MEDICAL|HIP |1. Facility Inpatient
533|2016|Mat Csect Delivery|I22b|HIP Mat Csect Delivery - Mom\Baby Cmbnd|MEDICAL|HIP |1. Facility Inpatient
534|2016|Well Newborn|I23a|HIP Well Newborn - Normal Delivery|MEDICAL|HIP |1. Facility Inpatient
535|2016|Well Newborn|I23b|HIP Well Newborn - Csect Delivery|MEDICAL|HIP |1. Facility Inpatient
536|2016|Well Newborn|I23c|HIP Well Newborn - Unknown Delivery|MEDICAL|HIP |1. Facility Inpatient
537|2016|Other Newborn|I24|HIP Other Newborn|MEDICAL|HIP |1. Facility Inpatient
538|2016|Maternity Non-Delivery|I25|HIP Maternity Non-Delivery|MEDICAL|HIP |1. Facility Inpatient
539|2016|SNF|I31|HIP SNF|MEDICAL|HIP |1. Facility Inpatient
540|2016|Observation|O10|HOP Observation|MEDICAL|HOP |2. Facility Outpatient
541|2016|Emergency Room|O11a|HOP Emergency Room - Hospital|MEDICAL|HOP |2. Facility Outpatient
542|2016|Emergency Room|O11b|HOP Emergency Room - Urgent Care|MEDICAL|HOP |2. Facility Outpatient
543|2016|Surgery|O12a|HOP Surgery - Hospital Outpatient|MEDICAL|HOP |2. Facility Outpatient
544|2016|Surgery|O12b|HOP Surgery - Ambulatory Surgery Center|MEDICAL|HOP |2. Facility Outpatient
545|2016|Radiology General|O13a|HOP Radiology General - Therapeutic|MEDICAL|HOP |2. Facility Outpatient
546|2016|Radiology General|O13b|HOP Radiology General - Diagnostic|MEDICAL|HOP |2. Facility Outpatient
547|2016|Radiology - CT/MRI/PET|O14a|HOP Radiology - CT/MRI/PET - CT Scan|MEDICAL|HOP |2. Facility Outpatient
548|2016|Radiology - CT/MRI/PET|O14b|HOP Radiology - CT/MRI/PET - MRI|MEDICAL|HOP |2. Facility Outpatient
549|2016|Radiology - CT/MRI/PET|O14c|HOP Radiology - CT/MRI/PET - PET|MEDICAL|HOP |2. Facility Outpatient
550|2016|Pathology/Lab|O15|HOP Pathology/Lab|MEDICAL|HOP |2. Facility Outpatient
551|2016|Pharmacy|O16a|HOP Pharmacy - General|MEDICAL|HOP |2. Facility Outpatient
552|2016|Pharmacy|O16b|HOP Pharmacy - Chemotherapy|MEDICAL|HOP |2. Facility Outpatient
553|2016|Cardiovascular|O17|HOP Cardiovascular|MEDICAL|HOP |2. Facility Outpatient
554|2016|PT/OT/ST|O18|HOP PT/OT/ST|MEDICAL|HOP |2. Facility Outpatient
555|2016|Psychiatric|O31a|HOP Psychiatric - Partial Hospitalization|MEDICAL|HOP |2. Facility Outpatient
556|2016|Psychiatric|O31b|HOP Psychiatric - Intensive Outpatient|MEDICAL|HOP |2. Facility Outpatient
557|2016|Alcohol & Drug Abuse|O32a|HOP Alcohol & Drug Abuse - Partial Hospitalization|MEDICAL|HOP |2. Facility Outpatient
558|2016|Alcohol & Drug Abuse|O32b|HOP Alcohol & Drug Abuse - Intensive Outpatient|MEDICAL|HOP |2. Facility Outpatient
559|2016|Other|O41a|HOP Other - General|MEDICAL|HOP |2. Facility Outpatient
560|2016|Other|O41b|HOP Other - Blood|MEDICAL|HOP |2. Facility Outpatient
561|2016|Other|O41d|HOP Other - Clinic|MEDICAL|HOP |2. Facility Outpatient
562|2016|Other|O41e|HOP Other - Diagnostic|MEDICAL|HOP |2. Facility Outpatient
563|2016|Other|O41f|HOP Other - Dialysis|MEDICAL|HOP |2. Facility Outpatient
564|2016|Other|O41g|HOP Other - DME/Supplies|MEDICAL|HOP |2. Facility Outpatient
565|2016|Other|O41h|HOP Other - Trtmt/SpcltySvcs|MEDICAL|HOP |2. Facility Outpatient
566|2016|Other|O41j|HOP Other - Pulmonary|MEDICAL|HOP |2. Facility Outpatient
567|2016|Preventive|O51a|HOP Preventive - General|MEDICAL|HOP |2. Facility Outpatient
568|2016|Preventive|O51b|HOP Preventive - Colonoscopy|MEDICAL|HOP |2. Facility Outpatient
569|2016|Preventive|O51c|HOP Preventive - Mammography|MEDICAL|HOP |2. Facility Outpatient
570|2016|Preventive|O51d|HOP Preventive - Lipid Panel|MEDICAL|HOP |2. Facility Outpatient
571|2016|Inpatient Surgery|P11|PHY Inpatient Surgery|MEDICAL|PHY |3. Professional
572|2016|Inpatient Anesthesia|P13|PHY Inpatient Anesthesia|MEDICAL|PHY |3. Professional
573|2016|Outpatient Surgery|P14|PHY Outpatient Surgery|MEDICAL|PHY |3. Professional
574|2016|Office Surgery|P15|PHY Office Surgery|MEDICAL|PHY |3. Professional
575|2016|Outpatient Anesthesia|P16|PHY Outpatient Anesthesia|MEDICAL|PHY |3. Professional
576|2016|Maternity|P21a|PHY Maternity - Normal Deliveries|MEDICAL|PHY |3. Professional
577|2016|Maternity|P21b|PHY Maternity - Cesarean Deliveries|MEDICAL|PHY |3. Professional
578|2016|Maternity|P21c|PHY Maternity - Non-Deliveries|MEDICAL|PHY |3. Professional
579|2016|Maternity|P21d|PHY Maternity - Ancillary|MEDICAL|PHY |3. Professional
580|2016|Maternity|P21e|PHY Maternity - Anesthesia|MEDICAL|PHY |3. Professional
581|2016|Inpatient Visits|P31d|PHY Inpatient Visits - Medical|MEDICAL|PHY |3. Professional
582|2016|Inpatient Visits|P31e|PHY Inpatient Visits - Psychiatric|MEDICAL|PHY |3. Professional
583|2016|Inpatient Visits|P31f|PHY Inpatient Visits - Alcohol and Drug Abuse|MEDICAL|PHY |3. Professional
584|2016|Office/Home Visits|P32c|PHY Office/Home Visits - PCP|MEDICAL|PHY |3. Professional
585|2016|Office/Home Visits|P32d|PHY Office/Home Visits - Specialist|MEDICAL|PHY |3. Professional
586|2016|Urgent Care Visits|P33|PHY Urgent Care Visits|MEDICAL|PHY |3. Professional
587|2016|Office Administered Drugs|P34a|PHY Office Administered Drugs - General|MEDICAL|PHY |3. Professional
588|2016|Office Administered Drugs|P34b|PHY Office Administered Drugs - Chemotherapy|MEDICAL|PHY |3. Professional
589|2016|Allergy Testing|P35|PHY Allergy Testing|MEDICAL|PHY |3. Professional
590|2016|Allergy Immunotherapy|P36|PHY Allergy Immunotherapy|MEDICAL|PHY |3. Professional
591|2016|Miscellaneous Medical|P37a|PHY Miscellaneous Medical - General|MEDICAL|PHY |3. Professional
592|2016|Miscellaneous Medical|P37b|PHY Miscellaneous Medical - Gastroenterology|MEDICAL|PHY |3. Professional
593|2016|Miscellaneous Medical|P37c|PHY Miscellaneous Medical - Ophthalmology|MEDICAL|PHY |3. Professional
594|2016|Miscellaneous Medical|P37d|PHY Miscellaneous Medical - Otorhinolaryngology|MEDICAL|PHY |3. Professional
595|2016|Miscellaneous Medical|P37e|PHY Miscellaneous Medical - Vestibular Function Tests|MEDICAL|PHY |3. Professional
596|2016|Miscellaneous Medical|P37f|PHY Miscellaneous Medical - Non-Invas. Vasc. Diag. Studies|MEDICAL|PHY |3. Professional
597|2016|Miscellaneous Medical|P37g|PHY Miscellaneous Medical - Pulmonology|MEDICAL|PHY |3. Professional
598|2016|Miscellaneous Medical|P37h|PHY Miscellaneous Medical - Neurology|MEDICAL|PHY |3. Professional
