PROC_CODE|PROC_CODE_DESC|CODE_CLASS
0005M|cleaning and inspeciton of removable partial denture, maxillary|0
0010|ORAL EVALUATION|1
0110|INITIAL ORAL EXAMINATION|1
0120|PERIODIC ORAL EXAMINATION|1
0130|EMERGENCY ORAL EXAM|1
0140|LIMITED ORAL EVALUATION - PROBLEM FOCUSED|1
0150|COMP ORAL EVALUATION - NEW/ESTABLISHED PATIENT|1
0160|DTL&EXT ORAL EVALUATION - PROBLEM FOCUSED REPORT|1
0170|RE-EVALUATION - LIMITED PROBLEM FOCUSED|1
0180|COMP PERIODONTAL EVALUATION - NEW/EST PATIENT|1
0210|INTRAORAL-COMPLETE SERIES|1
0220|INTRAORAL-PERIAPICAL-FIRST FILM|1
0230|INTRAORAL-PERIAPICAL-EACH ADDITIONAL FILM|1
0240|INTRAORAL - OCCLUSAL FILM|1
0250|EXTRAORAL - FIRST FILM|1
0260|EXTRAORAL - EACH ADDITIONAL FILM|1
0270|BITEWING - SINGLE FILM|1
0272|BITEWINGS - TWO FILMS|1
0274|BITEWINGS - FOUR FILMS|1
0277|VERTICAL BITEWINGS - 7 TO 8 FILMS|1
0290|POST-ANT/LAT SKULL&FACIAL BONE SURVEY FILM|1
0310|SIALOGRAPHY|1
0320|TEMPOROMANDIBULAR JOINT ARTHROGRAM INCL INJ|1
0321|OTHER TEMPOROMANDIBULAR JOINT FILMS BY REPORT|1
0322|TOMOGRAPHIC SURVEY|1
0330|PANORAMIC FILM|1
0340|CEPHALOMETRIC FILM|1
0350|ORAL/FACIAL PHOTOGRAPHIC IMAGES|1
0415|COLLECTION MICROORGANISMS CULTURE & SENSITIVITY|1
0416|VIRAL CULTURE|1
0421|GENETIC TEST FOR SUSCEPTIBILITY TO ORAL DISEASES|1
0425|CARIES SUSCEPTIBILITY TESTS|1
0431|ADJUNCTIVE PREDX TST NOT INCL CYTOLOGY/BX PROC|1
0460|PULP VITALITY TESTS|1
0470|DIAGNOSTIC CASTS|1
0471|DIAGNOSTIC PHOTOGRAPHS|1
0472|ACCESSION OF TISSUE GROSS EXAMINATION PREP/REPRT|1
0473|ACCESS TISSUE GR&MIC EXAMINATION PREP/REPRT|1
0474|ACCESS TISS GR&MIC EX ASSESS SURG MARG PREP/RPT|1
0475|DECALCIFICATION PROCEDURE|1
0476|SPECIAL STAINS FOR MICROORGANISMS|1
0477|SPECIAL STAINS NOT FOR MICROORGANISMS|1
0478|IMMUNOHISTOCHEMICAL STAINS|1
0479|TISSUE INSITU HYBRIDIZATION INCL INTERPRETATION|1
0480|PROCESS&INTEPR EXFOL CYTOL SMEARS INCL PREP/REPT|1
0481|ELECTRON MICROSCOPY DIAGNOSTIC|1
0482|DIRECT IMMUNOFLUORESCENCE|1
0483|INDIRECT IMMUNOFLUORESCENCE|1
0484|CONSULTATION ON SLIDES PREPARED ELSEWHERE|1
0485|CONSULT INCL PREP SLIDES BX MATL SPL REF SRC|1
0501|HISTOPATHOLOGIC EXAMINATIONS|1
0502|OTHER ORAL PATHOLOGY PROCEDURES BY REPORT|1
06076|interim caries arresting medicament application|0
07012|immediate mandibular partial denture - resin base (including any conventional clasps, rests and teeth)|0
0999|UNSPECIFIED DIAGNOSTIC PROCEDURE BY REPORT|1
1110|PROPHYLAXIS - ADULT|1
1120|PROPHYLAXIS - CHILD|1
1201|TOPICAL APPLICATION OF FLUORIDE - CHILD|1
1203|TOPICAL APPLICATION OF FLUORIDE - CHILD|1
1204|TOPICAL APPLICATION OF FLUORIDE - ADULT|1
1205|TOPICAL APPLICATION OF FLUORIDE - ADULT|1
13003|occlusal orthotic device adjustment|0
1310|NUTRITIONAL COUNSELING CONTROL OF DENTAL DISEASE|1
1320|TOBACCO CNSL CONTROL&PREVENTION ORAL DISEASE|1
1330|ORAL HYGIENE INSTRUCTIONS|1
1351|SEALANT - PER TOOTH|1
1510|SPACE MAINTAINER - FIXED-UNILATERAL|1
1515|SPACE MAINTAINER - FIXED-BILATERAL|1
1520|SPACE MAINTAINER - REMOVABLE-UNILATERAL|1
1525|SPACE MAINTAINER - REMOVABLE-BILATERAL|1
1550|RECEMENTATION OF SPACE MAINTAINER|1
19999|Invalid Procedure|1
2110|AMALGAM ONE SURFACE PRIMARY|1
2120|AMALGAM TWO SURFACES PRIMARY|1
2130|AMALGAM THREE SURFACES PRIMARY|1
2131|AMALGAM FOUR/MORE SURFACES PRIMARY|1
2140|AMALGAM-ONE SURFACE PRIMARY OR PERMANENT|1
2150|AMALGAM-TWO SURFACES PRIMARY OR PERMANENT|1
2160|AMALGAM-THREE SURFACES PRIMARY OR PERMANENT|1
2161|AMALGAM-FOUR/MORE SURFACES PRIMARY/PERMANENT|1
2210|SILICATE CEMENT-PER RESTORATION|1
2330|RESIN-BASED COMPOSITE - ONE SURFACE ANTERIOR|1
2331|RESIN-BASED COMPOSITE - TWO SURFACES ANTERIOR|1
2332|RESIN-BASED COMPOSITE - THREE SURFACES ANTERIOR|1
2335|RESIN COMPOS - 4/MORE SURFACES/INVLV INCISAL ANG|1
2336|COMPOSITE RESIN CROWN ANT PRIMARY|1
2337|RESIN-BASED COMPOS CROWN-ANT-PERM|1
2380|RESIN ONE SURFACE POSTERIOR PRIMARY|1
2381|RESIN TWO SURFACE POSTERIOR PRIMARY|1
2382|RESIN 3/MORE SURFACE POST PRIM|1
2385|RESIN 1 SURFACE POST PERM|1
2386|RESIN 2 SURFACE POST PERM|1
2387|RESIN 3/MORE SURFACE POST PERM|1
2388|RESIN-BASED COMPOS-4/MORE SURFACES|1
2390|RESIN-BASED COMPOSITE CROWN ANTERIOR|1
2391|RESIN-BASED COMPOSITE - ONE SURFACE POSTERIOR|1
2392|RESIN-BASED COMPOSITE - TWO SURFACES POSTERIOR|1
2393|RESIN-BASED COMPOSITE - THREE SURFACES POSTERIOR|1
2394|RESIN COMPOS - FOUR OR MORE SURFACES POSTERIOR|1
2410|GOLD FOIL - ONE SURFACE|1
2420|GOLD FOIL - TWO SURFACES|1
2430|GOLD FOIL - THREE SURFACES|1
2510|INLAY - METALLIC - ONE SURFACE|1
2520|INLAY - METALLIC - TWO SURFACES|1
2530|INLAY - METALLIC - THREE OR MORE SURFACES|1
2542|ONLAY - METALLIC - TWO SURFACES|1
2543|ONLAY METALLIC THREE SURFACES|1
2544|ONLAY METALLIC FOUR OR MORE SURFACES|1
2610|INLAY - PORCELAIN/CERAMIC - ONE SURFACE|1
2620|INLAY - PORCELAIN/CERAMIC - TWO SURFACES|1
26285|autogeneous connective tissue graft procedure (including donor and recipient surgical sites) - each additional contiguous tooth, implant or edentulous tooth position in same graft site|0
2630|INLAY - PORCELAIN/CERAMIC - THREE/MORE SURFACES|1
2642|ONLAY - PORCELAIN/CERAMIC - TWO SURFACES|1
2643|ONLAY - PORCELAIN/CERAMIC - THREE SURFACES|1
2644|ONLAY - PORCELAIN/CERAMIC - 4 OR MORE SURFACES|1
2650|INLAY - RESIN COMPOS COMPOSITE/RESIN - 1 SURFACE|1
2651|INLAY - RESIN COMPOS COMPOS/RESIN - 2 SURFACES|1
2652|INLAY - RSN COMPOS COMPOS/RSN - 3/MORE SURFACES|1
2662|ONLAY - RESIN COMPOS COMPOS/RESIN - 2 SURFACES|1
2663|ONLAY - RESIN COMPOS COMPOS/RESIN - 3 SURFACES|1
2664|ONLAY - RSN COMPOS COMPOS/RSN - 4/MORE SURFACES|1
2710|CROWN RESINBASED COMPOSITE INDIRECT|1
2712|CROWN 3/4 RESINBASED COMPOSITE INDIRECT|1
2720|CROWN - RESIN WITH HIGH NOBLE METAL|1
2721|CROWN - RESIN WITH PREDOMINANTLY BASE METAL|1
2722|CROWN - RESIN WITH NOBLE METAL|1
2740|CROWN - PORCELAIN/CERAMIC SUBSTRATE|1
2750|CROWN - PORCELAIN FUSED TO HIGH NOBLE METAL|1
2751|CROWN - PORCELAIN FUSED PREDOMINANTLY BASE METAL|1
2752|CROWN - PORCELAIN FUSED TO NOBLE METAL|1
2780|CROWN - 3/4 CAST HIGH NOBLE METAL|1
2781|CROWN - 3/4 CAST PREDOMINATELY BASE METAL|1
2782|CROWN - 3/4 CAST NOBLE METAL|1
2783|CROWN - 3/4 PORCELAIN/CERAMIC|1
2790|CROWN - FULL CAST HIGH NOBLE METAL|1
2791|CROWN - FULL CAST PREDOMINANTLY BASE METAL|1
2792|CROWN - FULL CAST NOBLE METAL|1
2794|CROWNTITANIUM|1
2799|PROVISIONAL CROWN|1
2810|CROWN-3/4 CAST METALLIC|1
2910|RECEMENT INLAY ONLAY/PART COVERAGE RESTORATION|1
2915|RECEMENT CAST OR PREFABRICATED POST AND CORE|1
2920|RECEMENT CROWN|1
2930|PREFABR STAINLESS STEEL CROWN - PRIMARY TOOTH|1
2931|PREFABR STAINLESS STEEL CROWN - PERMANENT TOOTH|1
2932|PREFABRICATED RESIN CROWN|1
2933|PREFABR STAINLESS STEEL CROWN W/RESIN WINDOW|1
2934|PREFAB ESTHETIC COAT STNLESS STEEL CROWN  PRIM|1
2940|SEDATIVE FILLING|1
2950|CORE BUILDUP INCLUDING ANY PINS|1
