REV_CODE|REV_DESC_MAJ
0001|Total Charge
0022|SNF claim paid under PPS
0023|Home Health claim paid under PPS
0024|Inpatient Rehabilitation Facility paid under PPS
0100|All inclusive rate-room and board plus ancillary
0101|All inclusive rate-room and board
0110|Private medical or general-general classification
0111|Private medical or general-medical/surgical/GYN
0112|Private medical or general-OB
0113|Private medical or general-pediatric
0114|Private medical or general-psychiatric
0115|Private medical or general-hospice
0116|Private medical or general-detoxification
0117|Private medical or general-oncology
0118|Private medical or general-rehabilitation
0119|Private medical or general-other
0120|Semi-private 2 bed (medical or general)-general classification
0121|Semi-private 2 bed (medical or general)-medical/surgical/GYN
0122|Semi-private 2 bed (medical or general)-OB
0123|Semi-private 2 bed (medical or general)-pediatric
0124|Semi-private 2 bed (medical or general)-psychiatric
0125|Semi-private 2 bed (medical or general)-hospice
0126|Semi-private 2 bed (medical or general)-detoxification
0127|Semi-private 2 bed (medical or general)-oncology
0128|Semi-private 2 bed (medical or general)-rehabilitation
0129|Semi-private 2 bed (medical or general)-other
0130|Semi-private 3 and 4 beds-general classification
0131|Semi-private 3 and 4 beds-medical/surgical/GYN
0132|Semi-private 3 and 4 beds-OB
0133|Semi-private 3 and 4 beds-pediatric
0134|Semi-private 3 and 4 beds-psychiatric
0135|Semi-private 3 and 4 beds-hospice
0136|Semi-private 3 and 4 beds-detoxification
0137|Semi-private 3 and 4 beds-oncology
0138|Semi_private 3 and 4 beds-rehabilitation
0139|Semi-private 3 and 4 beds-other
0140|Private (deluxe)-general classification
0141|Private (deluxe)-medical/surgical/GYN
0142|Private (deluxe)-OB
0143|Private (deluxe)-pediatric
0144|Private (deluxe)-psychiatric
0145|Private (deluxe)-hospice
0146|Private (deluxe)-detoxification
0147|Private (deluxe)-oncology
0148|Private (deluxe)-rehabilitation
0149|Private (deluxe)-other
0150|Room&Board ward (medical or general)-general classification
0151|Room&Board ward (medical or general)-medical/surgical/GYN
0152|Room&Board ward (medical or general)-OB
0153|Room&Board ward (medical or general)-pediatric
0154|Room&Board ward (medical or general)-psychiatric
0155|Room&Board ward (medical or general)-hospice
